model,accuracy,balanced_accuracy,precision,recall,f1,auc,precision_down,recall_down,f1_down,sharpe
Transformer (FinBERT),0.4891994917407878,0.489709059391211,0.5091383812010444,0.4767726161369193,0.49242424242424243,0.4781923907840778,0.47029702970297027,0.5026455026455027,0.48593350383631717,-0.07165758211447854
Transformer (FinBERT) fine-tuned,0.47903430749682335,0.49236103025834077,0.49606299212598426,0.15403422982885084,0.23507462686567165,0.4837000814995924,0.47575757575757577,0.8306878306878307,0.605009633911368,-0.7373972318986003
Naive,0.5196950444726811,0.5,,,,0.5,,,,0.0
TFIDF,0.44599745870393903,0.454360228198859,0.44,0.24205378973105135,0.31230283911671924,0.4749744505245729,0.4483985765124555,0.6666666666666666,0.5361702127659574,-0.7332459906738241
Dictionary,0.49682337992376113,0.48030103103452737,0.5089903181189488,0.8997555012224939,0.6501766784452296,0.5057502490265327,0.359375,0.06084656084656084,0.10407239819004524,0.27165469811661364
