date,ret1_fwd,pos,pos_prev,turnover,tc,strategy_ret,bh_ret,cum_strategy,cum_bh
2021-12-10,-0.009178200213042942,1,1,0,0.0,-0.009178200213042942,-0.009178200213042942,1.1511320592881011,1.2616621404347867
2021-12-13,-0.007498643121873982,1,1,0,0.0,-0.007498643121873982,-0.007498643121873982,1.1425324139213573,1.2522367692162177
2021-12-14,0.016216212899903937,0,1,1,0.0001,-0.0001,0.016216212899903937,1.1424181663924367,1.2727088484455422
2021-12-15,-0.008781825842753221,1,0,1,0.0001,-0.00888182584275322,-0.008781825842753221,1.1323163349610428,1.261581073595178
2021-12-16,-0.010341010906644854,1,1,0,0.0,-0.010341010906644854,-0.010341010906644854,1.1206673742145825,1.2486022725737365
2021-12-17,-0.011453373010201773,1,1,0,0.0,-0.011453373010201773,-0.011453373010201773,1.1079051773693034,1.2343831489062729
2021-12-20,0.017621763861807693,1,1,0,0.0,0.017621763861807693,0.017621763861807693,1.1276014526601632,1.2563279423884972
2021-12-21,0.01012871135227833,1,1,0,0.0,0.01012871135227833,0.01012871135227833,1.1390806388381787,1.2691175874508533
2021-12-22,0.0062044168953239165,1,1,0,0.0,0.0062044168953239165,0.0062044168953239165,1.1461699397463405,1.2770161998567813
2021-12-23,0.013744072068897495,1,1,0,0.0,0.013744072068897495,0.013744072068897495,1.162031735141272,1.2946887708916
2021-12-27,-0.00101069803143794,1,1,0,0.0,-0.00101069803143794,-0.00101069803143794,1.160857865268008,1.2933808925459038
2021-12-28,0.0014009215802239794,1,1,0,0.0,0.0014009215802239794,0.0014009215802239794,1.162485275774123,1.2951940875251633
2021-12-29,-0.0029942175300767815,1,1,0,0.0,-0.0029942175300767815,-0.0029942175300767815,1.1590097478229098,1.291321794819828
2021-12-30,-0.0026296753415451235,1,1,0,0.0,-0.0026296753415451235,-0.0026296753415451235,1.155965932345749,1.287930498696175
2021-12-31,0.006353848835551901,1,1,0,0.0,0.006353848835551901,0.006353848835551901,1.1633341486163598,1.2961398673206048
2022-01-03,-0.000629816185405474,1,1,0,0.0,-0.000629816185405474,-0.000629816185405474,1.1626016926210585,1.2953237944685383
2022-01-04,-0.01958327277580274,1,1,0,0.0,-0.01958327277580274,-0.01958327277580274,1.1400556299312603,1.2702038831016158
2022-01-05,-0.0009641755290861198,0,1,1,0.0001,-0.0001,-0.0009641755290861198,1.1399416300683551,1.2689797738235156
2022-01-06,-0.004058436737205184,1,0,1,0.0001,-0.004158436737205185,-0.004058436737205184,1.1352110975426606,1.263840136192289
2022-01-07,-0.0014421248375171558,0,1,1,0.0001,-0.0001,-0.0014421248375171558,1.1350975821087725,1.2620188345290682
2022-01-10,0.009118332112992178,1,0,1,0.0001,0.009018332112992179,0.009118332112992178,1.1453805670785637,1.2735789658573493
2022-01-11,0.002813734056029915,1,1,0,0.0,0.002813734056029915,0.002813734056029915,1.1486079016886586,1.2771675246240513
2022-01-12,-0.014345962458905959,1,1,0,0.0,-0.014345962458905959,-0.014345962458905959,1.132247648228445,1.258976125815734
2022-01-13,0.0008195772127130851,1,1,0,0.0,0.0008195772127130851,0.0008195772127130851,1.1331759929732155,1.2600083769067576
2022-01-14,-0.018559054584436296,1,1,0,0.0,-0.018559054584436296,-0.018559054584436296,1.1123392708746016,1.2368394741464321
2022-01-18,-0.009736769104655707,1,1,0,0.0,-0.009736769104655707,-0.009736769104655707,1.1015612369922418,1.2248550930241968
2022-01-19,-0.011098789654239383,1,1,0,0.0,-0.011098789654239383,-0.011098789654239383,1.0894028371019502,1.2113358464053605
2022-01-20,-0.01909598635863574,1,1,0,0.0,-0.01909598635863574,-0.01909598635863574,1.068796986078606,1.188423655303797
2022-01-21,0.0027679180076169985,1,1,0,0.0,0.0027679180076169985,0.0027679180076169985,1.0717594265076023,1.1917176712199202
2022-01-24,-0.012246661962160843,1,1,0,0.0,-0.012246661962160843,-0.012246661962160843,1.058713995643902,1.1772121113858365
2022-01-25,-0.00149775250307016,1,1,0,0.0,-0.00149775250307016,-0.00149775250307016,1.0571294910009934,1.1754502587383284
2022-01-26,-0.005398540617997938,1,1,0,0.0,-0.005398540617997938,-0.005398540617997938,1.0514379114401182,1.1691216407928338
