model,accuracy_mean,accuracy_lo,accuracy_hi,balanced_accuracy_mean,balanced_accuracy_lo,balanced_accuracy_hi,auc_mean,auc_lo,auc_hi,folds
Transformer,0.5056503922257347,0.4820202552394333,0.534931506849315,0.5003461936719347,0.48571190588854446,0.5196298008306763,0.49701642227567105,0.4803043304388023,0.5180993037016608,5
TFIDF,0.4953734925652734,0.47534246575342465,0.5164383561643835,0.4992873674418952,0.48042224067873,0.5191241900798971,0.5029817360900146,0.47894422495850797,0.5208528322013296,5
Dictionary,0.5059946142137923,0.494523475002927,0.5174657534246576,0.49391699288470514,0.4870226462222564,0.500811339547154,0.5069153149062343,0.4936027218320107,0.5239615266117934,5
